date,dimension,Computer and Electronics,Internet and Telecom,other,Shopping & General Merchandise,Finance,Gambling,"News, Media, and Publications",Business and Industry,Professional Services,"Art, Entertainment & Recreation",GET,POST,HEAD,OPTIONS,PATCH,DELETE,PUT,UNKNOWN,ACL,HTTP/2,HTTP/1.x,HTTP/3
2026-03-17T00:00:00Z,vertical,25.769067,20.721951,14.429398,10.13492,8.092424,7.855122,5.867773,3.585282,3.040914,0.50315,,,,,,,,,,,,
2026-03-18T00:00:00Z,vertical,26.580627,19.899791,10.450977,11.436042,8.649532,10.192815,5.723885,3.518062,3.223048,0.325222,,,,,,,,,,,,
2026-03-19T00:00:00Z,vertical,23.529425,18.565362,13.000303,10.710852,10.375286,11.169957,5.72768,3.465091,3.006121,0.449922,,,,,,,,,,,,
2026-03-20T00:00:00Z,vertical,22.958645,19.15016,9.734862,11.116114,11.658168,13.646177,4.731051,3.306221,2.890512,0.808091,,,,,,,,,,,,
2026-03-21T00:00:00Z,vertical,24.337538,21.271669,8.922349,10.032142,8.750406,8.417184,5.873741,3.446974,2.511553,6.436444,,,,,,,,,,,,
2026-03-22T00:00:00Z,vertical,24.51469,22.737545,9.678996,11.574492,7.63849,8.414489,8.976313,2.887459,2.822814,0.754712,,,,,,,,,,,,
2026-03-23T00:00:00Z,vertical,33.043918,17.13804,9.222181,11.429424,8.534585,8.496513,5.370707,3.154888,3.004441,0.605304,,,,,,,,,,,,
2026-03-24T00:00:00Z,vertical,28.001063,18.724383,10.323509,12.722465,9.114722,7.690183,5.208305,4.422109,3.377439,0.415823,,,,,,,,,,,,
2026-03-25T00:00:00Z,vertical,27.255825,20.220424,9.555588,13.935493,9.756462,7.145321,4.966215,3.562309,3.149035,0.453328,,,,,,,,,,,,
2026-03-26T00:00:00Z,vertical,25.426736,21.39499,10.100921,12.574875,10.207955,6.770564,4.802574,4.852726,3.404978,0.463681,,,,,,,,,,,,
2026-03-27T00:00:00Z,vertical,20.500051,20.422225,8.375228,10.779427,10.623917,18.127402,4.110711,3.527459,3.232765,0.300816,,,,,,,,,,,,
2026-03-28T00:00:00Z,vertical,22.687505,21.372457,9.767463,10.265692,12.743026,8.96328,7.974765,3.15753,2.681079,0.387203,,,,,,,,,,,,
2026-03-29T00:00:00Z,vertical,24.215442,19.529542,8.980926,11.104388,13.578888,5.390815,7.722598,5.946771,2.485782,1.044849,,,,,,,,,,,,
2026-03-30T00:00:00Z,vertical,23.7592,17.170269,8.694713,9.629299,14.21325,6.859336,8.172843,4.277183,2.700938,4.522969,,,,,,,,,,,,
2026-03-31T00:00:00Z,vertical,21.032566,17.336178,8.448676,10.711702,15.498674,10.549865,7.354624,2.722118,2.44259,3.903007,,,,,,,,,,,,
2026-04-01T00:00:00Z,vertical,20.234746,18.136077,10.117293,9.94612,15.375754,5.852417,10.045247,3.990586,2.951383,3.350379,,,,,,,,,,,,
2026-04-02T00:00:00Z,vertical,21.863176,19.423777,11.14635,10.615292,13.313786,5.570718,7.034639,4.105967,2.911773,4.014522,,,,,,,,,,,,
2026-04-03T00:00:00Z,vertical,20.749374,24.050822,10.146623,10.845629,11.50791,6.120903,5.555647,4.125084,3.162776,3.735232,,,,,,,,,,,,
2026-04-04T00:00:00Z,vertical,20.493718,29.548538,8.222094,9.469225,11.125531,6.612644,5.633772,2.380602,3.501981,3.011897,,,,,,,,,,,,
2026-04-05T00:00:00Z,vertical,22.59139,20.019032,9.396582,10.980935,12.773148,7.483604,6.75314,2.891745,3.118543,3.99188,,,,,,,,,,,,
