date,country_iso2,HTTP/2,HTTP/1.x,HTTP/3
2025-06-09 00:00:00+00:00,AL,42.677276,36.061912,21.260812
2025-06-16 00:00:00+00:00,AL,43.227999,34.018593,22.753408
2025-06-23 00:00:00+00:00,AL,43.344161,31.984512,24.671327
2025-06-30 00:00:00+00:00,AL,44.179245,31.520013,24.300742
2025-07-07 00:00:00+00:00,AL,43.960887,31.0047,25.034414
2025-07-14 00:00:00+00:00,AL,44.20995,30.718881,25.071168
2025-07-21 00:00:00+00:00,AL,43.186213,31.485823,25.327964
2025-07-28 00:00:00+00:00,AL,42.043162,32.173611,25.783227
2025-08-04 00:00:00+00:00,AL,42.888003,32.514385,24.597612
2025-08-11 00:00:00+00:00,AL,45.283955,30.95072,23.765326
2025-08-18 00:00:00+00:00,AL,44.657927,30.627365,24.714708
2025-08-25 00:00:00+00:00,AL,45.011132,30.180948,24.80792
2025-09-01 00:00:00+00:00,AL,43.248409,31.492401,25.25919
2025-09-08 00:00:00+00:00,AL,43.63368,30.651281,25.715039
2025-09-15 00:00:00+00:00,AL,42.387429,32.006455,25.606115
2025-09-22 00:00:00+00:00,AL,43.288333,31.239738,25.471929
2025-09-29 00:00:00+00:00,AL,43.53801,31.310835,25.151156
2025-10-06 00:00:00+00:00,AL,43.2735,32.544268,24.182231
2025-10-13 00:00:00+00:00,AL,42.110423,33.819337,24.07024
2025-10-20 00:00:00+00:00,AL,43.170841,32.734,24.095158
2025-10-27 00:00:00+00:00,AL,43.551442,32.3615,24.087059
2025-11-03 00:00:00+00:00,AL,44.408201,29.647279,25.94452
2025-11-10 00:00:00+00:00,AL,44.343107,30.520351,25.136542
2025-11-17 00:00:00+00:00,AL,43.584488,30.507535,25.907977
2025-11-24 00:00:00+00:00,AL,46.145788,28.881896,24.972316
2025-12-01 00:00:00+00:00,AL,46.716009,29.313668,23.970322
2025-12-08 00:00:00+00:00,AL,45.503524,30.266256,24.23022
2025-12-15 00:00:00+00:00,AL,44.32517,34.159234,21.515596
2025-12-22 00:00:00+00:00,AL,43.840883,33.697142,22.461974
2025-12-29 00:00:00+00:00,AL,45.378289,31.649208,22.972503
2026-01-05 00:00:00+00:00,AL,46.827623,28.652402,24.519976
2026-01-12 00:00:00+00:00,AL,43.548977,32.342878,24.108145
2026-01-19 00:00:00+00:00,AL,39.457804,36.83382,23.708375
2026-01-26 00:00:00+00:00,AL,39.871968,36.374726,23.753306
2026-02-02 00:00:00+00:00,AL,41.492177,34.208478,24.299345
2026-02-09 00:00:00+00:00,AL,44.591179,30.205289,25.203532
2026-02-16 00:00:00+00:00,AL,45.819075,28.71662,25.464305
2026-02-23 00:00:00+00:00,AL,45.061525,29.753651,25.184824
2026-03-02 00:00:00+00:00,AL,41.322,34.991236,23.686765
2026-03-09 00:00:00+00:00,AL,41.93558,33.434132,24.630288
2026-03-16 00:00:00+00:00,AL,45.551639,28.983634,25.464728
2026-03-23 00:00:00+00:00,AL,43.789522,30.010108,26.20037
2026-03-30 00:00:00+00:00,AL,43.710372,30.842638,25.44699
2026-04-06 00:00:00+00:00,AL,44.490854,29.316883,26.192263
2026-04-13 00:00:00+00:00,AL,42.791755,30.900135,26.30811
2026-04-20 00:00:00+00:00,AL,41.974578,31.967752,26.057669
2026-04-27 00:00:00+00:00,AL,43.125264,31.619611,25.255125
2026-05-04 00:00:00+00:00,AL,43.571651,31.215095,25.213254
2026-05-11 00:00:00+00:00,AL,43.481169,30.955539,25.563291
2026-05-18 00:00:00+00:00,AL,42.604639,32.182353,25.213009
2026-05-25 00:00:00+00:00,AL,41.698809,34.157307,24.143884
2026-06-01 00:00:00+00:00,AL,42.570371,33.108299,24.32133
2026-06-08 00:00:00+00:00,AL,43.046556,32.951618,24.001826
2025-06-09 00:00:00+00:00,AM,46.075196,15.234111,38.690692
2025-06-16 00:00:00+00:00,AM,48.365786,13.879523,37.754691
2025-06-23 00:00:00+00:00,AM,49.553574,14.158479,36.287947
2025-06-30 00:00:00+00:00,AM,49.618281,14.696401,35.685318
