date,country_iso2,metric,p25,p50,p75
2025-06-09 00:00:00+00:00,AN,BANDWIDTH,,,
2025-06-16 00:00:00+00:00,AN,BANDWIDTH,,,
2025-06-23 00:00:00+00:00,AN,BANDWIDTH,,,
2025-06-30 00:00:00+00:00,AN,BANDWIDTH,,,
2025-07-07 00:00:00+00:00,AN,BANDWIDTH,,,
2025-07-14 00:00:00+00:00,AN,BANDWIDTH,,,
2025-07-21 00:00:00+00:00,AN,BANDWIDTH,,,
2025-07-28 00:00:00+00:00,AN,BANDWIDTH,,,
2025-08-04 00:00:00+00:00,AN,BANDWIDTH,,,
2025-08-11 00:00:00+00:00,AN,BANDWIDTH,,,
2025-08-18 00:00:00+00:00,AN,BANDWIDTH,,,
2025-08-25 00:00:00+00:00,AN,BANDWIDTH,,,
2025-09-01 00:00:00+00:00,AN,BANDWIDTH,,,
2025-09-08 00:00:00+00:00,AN,BANDWIDTH,,,
2025-09-15 00:00:00+00:00,AN,BANDWIDTH,,,
2025-09-22 00:00:00+00:00,AN,BANDWIDTH,,,
2025-09-29 00:00:00+00:00,AN,BANDWIDTH,,,
2025-10-06 00:00:00+00:00,AN,BANDWIDTH,,,
2025-10-13 00:00:00+00:00,AN,BANDWIDTH,,,
2025-10-20 00:00:00+00:00,AN,BANDWIDTH,,,
2025-10-27 00:00:00+00:00,AN,BANDWIDTH,,,
2025-11-03 00:00:00+00:00,AN,BANDWIDTH,,,
2025-11-10 00:00:00+00:00,AN,BANDWIDTH,,,
2025-11-17 00:00:00+00:00,AN,BANDWIDTH,,,
2025-11-24 00:00:00+00:00,AN,BANDWIDTH,,,
2025-12-01 00:00:00+00:00,AN,BANDWIDTH,,,
2025-12-08 00:00:00+00:00,AN,BANDWIDTH,,,
2025-12-15 00:00:00+00:00,AN,BANDWIDTH,,,
2025-12-22 00:00:00+00:00,AN,BANDWIDTH,,,
2025-12-29 00:00:00+00:00,AN,BANDWIDTH,,,
2026-01-05 00:00:00+00:00,AN,BANDWIDTH,,,
2026-01-12 00:00:00+00:00,AN,BANDWIDTH,,,
2026-01-19 00:00:00+00:00,AN,BANDWIDTH,,,
2026-01-26 00:00:00+00:00,AN,BANDWIDTH,,,
2026-02-02 00:00:00+00:00,AN,BANDWIDTH,,,
2026-02-09 00:00:00+00:00,AN,BANDWIDTH,,,
2026-02-16 00:00:00+00:00,AN,BANDWIDTH,,,
2026-02-23 00:00:00+00:00,AN,BANDWIDTH,,,
2026-03-02 00:00:00+00:00,AN,BANDWIDTH,,,
2026-03-09 00:00:00+00:00,AN,BANDWIDTH,,,
2026-03-16 00:00:00+00:00,AN,BANDWIDTH,,,
2026-03-23 00:00:00+00:00,AN,BANDWIDTH,,,
2026-03-30 00:00:00+00:00,AN,BANDWIDTH,,,
2026-04-06 00:00:00+00:00,AN,BANDWIDTH,,,
2026-04-13 00:00:00+00:00,AN,BANDWIDTH,,,
2026-04-20 00:00:00+00:00,AN,BANDWIDTH,,,
2026-04-27 00:00:00+00:00,AN,BANDWIDTH,,,
2026-05-04 00:00:00+00:00,AN,BANDWIDTH,,,
2026-05-11 00:00:00+00:00,AN,BANDWIDTH,,,
2026-05-18 00:00:00+00:00,AN,BANDWIDTH,,,
2026-05-25 00:00:00+00:00,AN,BANDWIDTH,,,
2026-06-01 00:00:00+00:00,AN,BANDWIDTH,,,
2026-06-08 00:00:00+00:00,AN,BANDWIDTH,,,
2025-06-09 00:00:00+00:00,AP,BANDWIDTH,,,
2025-06-16 00:00:00+00:00,AP,BANDWIDTH,,,
2025-06-23 00:00:00+00:00,AP,BANDWIDTH,,,
2025-06-30 00:00:00+00:00,AP,BANDWIDTH,,,
2025-07-07 00:00:00+00:00,AP,BANDWIDTH,,,
2025-07-14 00:00:00+00:00,AP,BANDWIDTH,,,
2025-07-21 00:00:00+00:00,AP,BANDWIDTH,,,
2025-07-28 00:00:00+00:00,AP,BANDWIDTH,,,
2025-08-04 00:00:00+00:00,AP,BANDWIDTH,,,
2025-08-11 00:00:00+00:00,AP,BANDWIDTH,,,
2025-08-18 00:00:00+00:00,AP,BANDWIDTH,,,
2025-08-25 00:00:00+00:00,AP,BANDWIDTH,,,
2025-09-01 00:00:00+00:00,AP,BANDWIDTH,,,
2025-09-08 00:00:00+00:00,AP,BANDWIDTH,,,
2025-09-15 00:00:00+00:00,AP,BANDWIDTH,,,
2025-09-22 00:00:00+00:00,AP,BANDWIDTH,,,
2025-09-29 00:00:00+00:00,AP,BANDWIDTH,,,
2025-10-06 00:00:00+00:00,AP,BANDWIDTH,,,
2025-10-13 00:00:00+00:00,AP,BANDWIDTH,,,
2025-10-20 00:00:00+00:00,AP,BANDWIDTH,,,
2025-10-27 00:00:00+00:00,AP,BANDWIDTH,,,
2025-11-03 00:00:00+00:00,AP,BANDWIDTH,,,
2025-11-10 00:00:00+00:00,AP,BANDWIDTH,,,
2025-11-17 00:00:00+00:00,AP,BANDWIDTH,,,
2025-11-24 00:00:00+00:00,AP,BANDWIDTH,,,
2025-12-01 00:00:00+00:00,AP,BANDWIDTH,,,
2025-12-08 00:00:00+00:00,AP,BANDWIDTH,,,
2025-12-15 00:00:00+00:00,AP,BANDWIDTH,,,
2025-12-22 00:00:00+00:00,AP,BANDWIDTH,,,
2025-12-29 00:00:00+00:00,AP,BANDWIDTH,,,
2026-01-05 00:00:00+00:00,AP,BANDWIDTH,,,
2026-01-12 00:00:00+00:00,AP,BANDWIDTH,,,
2026-01-19 00:00:00+00:00,AP,BANDWIDTH,,,
2026-01-26 00:00:00+00:00,AP,BANDWIDTH,,,
2026-02-02 00:00:00+00:00,AP,BANDWIDTH,,,
2026-02-09 00:00:00+00:00,AP,BANDWIDTH,,,
2026-02-16 00:00:00+00:00,AP,BANDWIDTH,,,
2026-02-23 00:00:00+00:00,AP,BANDWIDTH,,,
2026-03-02 00:00:00+00:00,AP,BANDWIDTH,,,
2026-03-09 00:00:00+00:00,AP,BANDWIDTH,,,
2026-03-16 00:00:00+00:00,AP,BANDWIDTH,,,
2026-03-23 00:00:00+00:00,AP,BANDWIDTH,,,
2026-03-30 00:00:00+00:00,AP,BANDWIDTH,,,
2026-04-06 00:00:00+00:00,AP,BANDWIDTH,,,
2026-04-13 00:00:00+00:00,AP,BANDWIDTH,,,
2026-04-20 00:00:00+00:00,AP,BANDWIDTH,,,
2026-04-27 00:00:00+00:00,AP,BANDWIDTH,,,
2026-05-04 00:00:00+00:00,AP,BANDWIDTH,,,
2026-05-11 00:00:00+00:00,AP,BANDWIDTH,,,
2026-05-18 00:00:00+00:00,AP,BANDWIDTH,,,
2026-05-25 00:00:00+00:00,AP,BANDWIDTH,,,
2026-06-01 00:00:00+00:00,AP,BANDWIDTH,,,
2026-06-08 00:00:00+00:00,AP,BANDWIDTH,,,
2025-06-09 00:00:00+00:00,AQ,BANDWIDTH,8.41205,8.653514,10.770086
2025-06-16 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-06-23 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-06-30 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-07-07 00:00:00+00:00,AQ,BANDWIDTH,21.800767,33.102691,93.19264
2025-07-14 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-07-21 00:00:00+00:00,AQ,BANDWIDTH,5.758552,26.606831,31.122541
2025-07-28 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-08-04 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-08-11 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-08-18 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-08-25 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-09-01 00:00:00+00:00,AQ,BANDWIDTH,15.31814,16.432262,17.521883
2025-09-08 00:00:00+00:00,AQ,BANDWIDTH,23.190766,42.532139,82.439455
2025-09-15 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-09-22 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-09-29 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-10-06 00:00:00+00:00,AQ,BANDWIDTH,7.437663,7.880033,8.228576
2025-10-13 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-10-20 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-10-27 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-11-03 00:00:00+00:00,AQ,BANDWIDTH,6.050512,6.827786,8.884757
2025-11-10 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-11-17 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-11-24 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-12-01 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-12-08 00:00:00+00:00,AQ,BANDWIDTH,13.1456,13.1456,13.1456
2025-12-15 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-12-22 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-12-29 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-01-05 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-01-12 00:00:00+00:00,AQ,BANDWIDTH,7.931205,8.432164,8.896666
2026-01-19 00:00:00+00:00,AQ,BANDWIDTH,4.559744,7.675679,10.020234
2026-01-26 00:00:00+00:00,AQ,BANDWIDTH,4.702072,6.454045,7.111408
2026-02-02 00:00:00+00:00,AQ,BANDWIDTH,2.191517,3.95761,8.315789
2026-02-09 00:00:00+00:00,AQ,BANDWIDTH,4.799065,4.799065,4.799065
2026-02-16 00:00:00+00:00,AQ,BANDWIDTH,1.014388,1.405645,1.535919
2026-02-23 00:00:00+00:00,AQ,BANDWIDTH,1.230562,1.426884,2.423683
2026-03-02 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-03-09 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-03-16 00:00:00+00:00,AQ,BANDWIDTH,3.766945,4.936113,6.480466
2026-03-23 00:00:00+00:00,AQ,BANDWIDTH,2.997655,3.75246,5.577732
2026-03-30 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-04-06 00:00:00+00:00,AQ,BANDWIDTH,3.469173,4.039331,4.703276
2026-04-13 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-04-20 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-04-27 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-05-04 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-05-11 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-05-18 00:00:00+00:00,AQ,BANDWIDTH,2.42543,4.002809,8.537023
2026-05-25 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-06-01 00:00:00+00:00,AQ,BANDWIDTH,,,
2026-06-08 00:00:00+00:00,AQ,BANDWIDTH,,,
2025-06-09 00:00:00+00:00,AI,BANDWIDTH,,,
2025-06-16 00:00:00+00:00,AI,BANDWIDTH,,,
2025-06-23 00:00:00+00:00,AI,BANDWIDTH,5.280822,18.100322,21.972557
2025-06-30 00:00:00+00:00,AI,BANDWIDTH,74.079838,77.332128,80.584418
2025-07-07 00:00:00+00:00,AI,BANDWIDTH,6.855081,9.596218,14.132721
2025-07-14 00:00:00+00:00,AI,BANDWIDTH,30.24272,33.260552,52.453117
2025-07-21 00:00:00+00:00,AI,BANDWIDTH,6.380985,9.34958,10.918773
2025-07-28 00:00:00+00:00,AI,BANDWIDTH,6.604926,10.270394,12.131115
2025-08-04 00:00:00+00:00,AI,BANDWIDTH,7.150422,9.658576,12.795902
2025-08-11 00:00:00+00:00,AI,BANDWIDTH,6.415895,11.417643,24.817135
2025-08-18 00:00:00+00:00,AI,BANDWIDTH,5.323963,7.391417,9.674308
2025-08-25 00:00:00+00:00,AI,BANDWIDTH,5.241879,7.661618,10.305185
2025-09-01 00:00:00+00:00,AI,BANDWIDTH,5.708773,7.71186,9.74312
2025-09-08 00:00:00+00:00,AI,BANDWIDTH,6.23911,9.819579,12.074448
2025-09-15 00:00:00+00:00,AI,BANDWIDTH,5.495659,6.98815,30.980392
2025-09-22 00:00:00+00:00,AI,BANDWIDTH,7.091969,8.489619,10.089821
2025-09-29 00:00:00+00:00,AI,BANDWIDTH,35.593944,37.315917,45.754972
2025-10-06 00:00:00+00:00,AI,BANDWIDTH,7.847182,8.513989,10.519846
2025-10-13 00:00:00+00:00,AI,BANDWIDTH,8.032689,12.19551,21.253825
2025-10-20 00:00:00+00:00,AI,BANDWIDTH,5.313943,8.053475,9.330269
2025-10-27 00:00:00+00:00,AI,BANDWIDTH,7.668456,9.709843,16.077284
2025-11-03 00:00:00+00:00,AI,BANDWIDTH,5.213375,6.557834,9.668848
2025-11-10 00:00:00+00:00,AI,BANDWIDTH,8.386152,11.211729,12.260068
2025-11-17 00:00:00+00:00,AI,BANDWIDTH,8.030231,10.468325,19.962586
2025-11-24 00:00:00+00:00,AI,BANDWIDTH,49.178541,53.685403,102.501201
2025-12-01 00:00:00+00:00,AI,BANDWIDTH,44.162894,57.986811,120.611786
2025-12-08 00:00:00+00:00,AI,BANDWIDTH,35.016248,48.55467,62.281561
2025-12-15 00:00:00+00:00,AI,BANDWIDTH,52.183296,57.087378,62.38246
2025-12-22 00:00:00+00:00,AI,BANDWIDTH,23.268016,26.746515,32.755306
2025-12-29 00:00:00+00:00,AI,BANDWIDTH,4.855482,8.633711,11.769394
2026-01-05 00:00:00+00:00,AI,BANDWIDTH,13.112434,15.087409,31.936935
2026-01-12 00:00:00+00:00,AI,BANDWIDTH,5.995231,8.164147,10.192827
2026-01-19 00:00:00+00:00,AI,BANDWIDTH,9.092903,12.203778,72.008679
2026-01-26 00:00:00+00:00,AI,BANDWIDTH,6.198264,8.600838,12.827588
2026-02-02 00:00:00+00:00,AI,BANDWIDTH,14.422043,23.377458,31.170668
2026-02-09 00:00:00+00:00,AI,BANDWIDTH,5.758056,8.030716,36.658034
2026-02-16 00:00:00+00:00,AI,BANDWIDTH,4.275058,6.943211,10.083745
2026-02-23 00:00:00+00:00,AI,BANDWIDTH,5.415812,7.85427,13.176252
