date,country_iso2,metric,p75,p50,p25
2025-06-09 00:00:00+00:00,AE,DNS,112.736687,40.465731,18.689746
2025-06-16 00:00:00+00:00,AE,DNS,110.373438,36.893522,17.524152
2025-06-23 00:00:00+00:00,AE,DNS,108.84849,38.085821,18.806014
2025-06-30 00:00:00+00:00,AE,DNS,107.83083,36.977773,17.811945
2025-07-07 00:00:00+00:00,AE,DNS,108.186399,37.8812,17.480149
2025-07-14 00:00:00+00:00,AE,DNS,108.268632,38.241825,17.071518
2025-07-21 00:00:00+00:00,AE,DNS,108.854286,39.655524,17.925705
2025-07-28 00:00:00+00:00,AE,DNS,105.215883,36.152589,16.294655
2025-08-04 00:00:00+00:00,AE,DNS,106.962328,38.100495,17.027905
2025-08-11 00:00:00+00:00,AE,DNS,105.285364,37.153799,16.88638
2025-08-18 00:00:00+00:00,AE,DNS,108.142881,39.594016,17.553911
2025-08-25 00:00:00+00:00,AE,DNS,111.326455,41.00046,18.135531
2025-09-01 00:00:00+00:00,AE,DNS,123.379226,45.910126,18.901786
2025-09-08 00:00:00+00:00,AE,DNS,131.038592,49.806802,19.42906
2025-09-15 00:00:00+00:00,AE,DNS,122.133082,49.97759,20.792149
2025-09-22 00:00:00+00:00,AE,DNS,117.774543,46.053257,19.458957
2025-09-29 00:00:00+00:00,AE,DNS,119.817082,47.833483,18.817626
2025-10-06 00:00:00+00:00,AE,DNS,117.737987,47.832291,18.707304
2025-10-13 00:00:00+00:00,AE,DNS,109.489488,40.528844,18.221117
2025-10-20 00:00:00+00:00,AE,DNS,103.059127,37.084723,17.618338
2025-10-27 00:00:00+00:00,AE,DNS,113.652659,45.952196,20.879976
2025-11-03 00:00:00+00:00,AE,DNS,114.708241,46.209874,20.250898
2025-11-10 00:00:00+00:00,AE,DNS,118.635504,49.340451,21.01124
2025-11-17 00:00:00+00:00,AE,DNS,118.430602,45.940205,19.817219
2025-11-24 00:00:00+00:00,AE,DNS,120.324248,46.323274,20.584545
2025-12-01 00:00:00+00:00,AE,DNS,124.428657,48.222412,21.190522
2025-12-08 00:00:00+00:00,AE,DNS,122.929241,48.578339,21.353544
2025-12-15 00:00:00+00:00,AE,DNS,125.601487,50.724101,22.297424
2025-12-22 00:00:00+00:00,AE,DNS,125.977861,53.718057,23.365096
2025-12-29 00:00:00+00:00,AE,DNS,125.367666,51.537095,23.195816
2026-01-05 00:00:00+00:00,AE,DNS,127.258948,53.098831,23.469523
2026-01-12 00:00:00+00:00,AE,DNS,125.425342,49.0792,21.600168
2026-01-19 00:00:00+00:00,AE,DNS,124.149582,48.305406,22.722595
2026-01-26 00:00:00+00:00,AE,DNS,126.051699,53.845273,24.838408
2026-02-02 00:00:00+00:00,AE,DNS,123.96695,50.582038,24.311122
2026-02-09 00:00:00+00:00,AE,DNS,125.598823,53.63939,25.109881
2026-02-16 00:00:00+00:00,AE,DNS,119.525822,48.169778,23.268649
2026-02-23 00:00:00+00:00,AE,DNS,113.681031,43.529758,21.586027
2026-03-02 00:00:00+00:00,AE,DNS,119.360085,53.912111,21.00323
2026-03-09 00:00:00+00:00,AE,DNS,136.727793,73.938624,25.188229
2026-03-16 00:00:00+00:00,AE,DNS,137.568491,79.907573,27.857168
2026-03-23 00:00:00+00:00,AE,DNS,131.439887,60.556497,24.360209
2026-03-30 00:00:00+00:00,AE,DNS,135.154878,69.446142,25.78094
2026-04-06 00:00:00+00:00,AE,DNS,124.784406,58.289242,27.078633
2026-04-13 00:00:00+00:00,AE,DNS,137.754121,67.603802,25.346245
2026-04-20 00:00:00+00:00,AE,DNS,132.459287,63.0397,24.361483
2026-04-27 00:00:00+00:00,AE,DNS,138.939854,78.236956,27.094879
2026-05-04 00:00:00+00:00,AE,DNS,138.449015,73.298265,25.387649
2026-05-11 00:00:00+00:00,AE,DNS,138.917567,74.756186,25.316382
2026-05-18 00:00:00+00:00,AE,DNS,139.820417,76.943482,25.700547
2026-05-25 00:00:00+00:00,AE,DNS,132.33716,66.937484,23.424931
2026-06-01 00:00:00+00:00,AE,DNS,129.132002,65.22195,23.593328
2026-06-08 00:00:00+00:00,AE,DNS,136.189135,84.420211,26.706244
2025-06-09 00:00:00+00:00,AD,DNS,47.965484,27.506687,18.932912
2025-06-16 00:00:00+00:00,AD,DNS,49.927,26.098307,15.193294
2025-06-23 00:00:00+00:00,AD,DNS,44.37749,24.975813,17.432515
2025-06-30 00:00:00+00:00,AD,DNS,38.688724,21.622124,14.803088
2025-07-07 00:00:00+00:00,AD,DNS,43.624722,26.062274,16.530584
2025-07-14 00:00:00+00:00,AD,DNS,46.789565,27.934596,18.027531
2025-07-21 00:00:00+00:00,AD,DNS,48.379873,24.806778,17.257306
2025-07-28 00:00:00+00:00,AD,DNS,47.052554,26.707183,17.483553
2025-08-04 00:00:00+00:00,AD,DNS,48.372295,26.363406,18.316807
2025-08-11 00:00:00+00:00,AD,DNS,47.32042,25.431371,17.513475
2025-08-18 00:00:00+00:00,AD,DNS,41.095049,22.173127,13.984791
2025-08-25 00:00:00+00:00,AD,DNS,42.816223,25.315828,18.169195
2025-09-01 00:00:00+00:00,AD,DNS,46.186317,24.864816,16.779224
2025-09-08 00:00:00+00:00,AD,DNS,42.671063,23.58954,16.82161
2025-09-15 00:00:00+00:00,AD,DNS,45.360418,26.048968,17.983507
2025-09-22 00:00:00+00:00,AD,DNS,41.158777,24.012747,16.863929
2025-09-29 00:00:00+00:00,AD,DNS,58.301629,32.72989,18.430982
2025-10-06 00:00:00+00:00,AD,DNS,49.117369,24.232188,16.671332
2025-10-13 00:00:00+00:00,AD,DNS,54.790196,28.796424,19.189622
2025-10-20 00:00:00+00:00,AD,DNS,48.925793,28.993028,18.443569
2025-10-27 00:00:00+00:00,AD,DNS,48.686386,29.215694,18.47979
2025-11-03 00:00:00+00:00,AD,DNS,45.008525,26.640325,18.657112
2025-11-10 00:00:00+00:00,AD,DNS,48.179119,28.149902,18.953608
