date,values
2025-06-09T00:00:00Z,0.581509
2025-06-16T00:00:00Z,0.58095
2025-06-23T00:00:00Z,0.605283
2025-06-30T00:00:00Z,0.618635
2025-07-07T00:00:00Z,0.632953
2025-07-14T00:00:00Z,0.623126
2025-07-21T00:00:00Z,0.635493
2025-07-28T00:00:00Z,0.642269
2025-08-04T00:00:00Z,0.629973
2025-08-11T00:00:00Z,0.62094
2025-08-18T00:00:00Z,0.630797
2025-08-25T00:00:00Z,0.628591
2025-09-01T00:00:00Z,0.632488
2025-09-08T00:00:00Z,0.649843
2025-09-15T00:00:00Z,0.651098
2025-09-22T00:00:00Z,0.654394
2025-09-29T00:00:00Z,0.656826
2025-10-06T00:00:00Z,0.743261
2025-10-13T00:00:00Z,0.675449
2025-10-20T00:00:00Z,0.702071
2025-10-27T00:00:00Z,0.736804
2025-11-03T00:00:00Z,0.80284
2025-11-10T00:00:00Z,0.799019
2025-11-17T00:00:00Z,0.748643
2025-11-24T00:00:00Z,0.73904
2025-12-01T00:00:00Z,0.742737
2025-12-08T00:00:00Z,0.747133
2025-12-15T00:00:00Z,0.749988
2025-12-22T00:00:00Z,0.728585
2025-12-29T00:00:00Z,0.742291
2026-01-05T00:00:00Z,0.764372
2026-01-12T00:00:00Z,0.737592
2026-01-19T00:00:00Z,0.750729
2026-01-26T00:00:00Z,0.765573
2026-02-02T00:00:00Z,0.781804
2026-02-09T00:00:00Z,0.840322
2026-02-16T00:00:00Z,0.82925
2026-02-23T00:00:00Z,0.835187
2026-03-02T00:00:00Z,0.840913
2026-03-09T00:00:00Z,0.826583
2026-03-16T00:00:00Z,0.827876
2026-03-23T00:00:00Z,0.858783
2026-03-30T00:00:00Z,0.942112
2026-04-06T00:00:00Z,0.921298
2026-04-13T00:00:00Z,0.941066
2026-04-20T00:00:00Z,0.923178
2026-04-27T00:00:00Z,0.97387
2026-05-04T00:00:00Z,0.957087
2026-05-11T00:00:00Z,0.921601
2026-05-18T00:00:00Z,0.931438
2026-05-25T00:00:00Z,0.950643
2026-06-01T00:00:00Z,1.0
