date,category,PASS,FAIL,NONE
2025-06-09T00:00:00Z,spf,76.748144,16.993789,6.258067
2025-06-16T00:00:00Z,spf,78.163873,16.660205,5.175922
2025-06-23T00:00:00Z,spf,74.951081,20.462117,4.586802
2025-06-30T00:00:00Z,spf,77.059655,17.42406,5.516285
2025-07-07T00:00:00Z,spf,78.306474,16.546905,5.146621
2025-07-14T00:00:00Z,spf,79.329308,15.896307,4.774384
2025-07-21T00:00:00Z,spf,79.101377,16.483934,4.414689
2025-07-28T00:00:00Z,spf,75.674465,20.280281,4.045254
2025-08-04T00:00:00Z,spf,77.546443,19.006008,3.447549
2025-08-11T00:00:00Z,spf,80.359552,15.762247,3.878201
2025-08-18T00:00:00Z,spf,80.448319,15.505514,4.046167
2025-08-25T00:00:00Z,spf,79.172035,16.841796,3.986169
2025-09-01T00:00:00Z,spf,78.312409,17.59886,4.08873
2025-09-08T00:00:00Z,spf,79.62457,16.86438,3.51105
2025-09-15T00:00:00Z,spf,75.491408,21.436432,3.07216
2025-09-22T00:00:00Z,spf,77.081515,19.779355,3.13913
2025-09-29T00:00:00Z,spf,76.363016,20.914994,2.72199
2025-10-06T00:00:00Z,spf,76.536813,20.239665,3.223521
2025-10-13T00:00:00Z,spf,77.626037,17.846679,4.527285
2025-10-20T00:00:00Z,spf,78.199815,16.29569,5.504495
2025-10-27T00:00:00Z,spf,80.299345,14.928489,4.772166
2025-11-03T00:00:00Z,spf,80.106943,15.364452,4.528605
2025-11-10T00:00:00Z,spf,78.866683,15.89458,5.238736
2025-11-17T00:00:00Z,spf,79.400193,15.784433,4.815374
2025-11-24T00:00:00Z,spf,76.509966,18.276347,5.213688
2025-12-01T00:00:00Z,spf,78.68479,15.69531,5.6199
2025-12-08T00:00:00Z,spf,78.667557,14.994183,6.33826
2025-12-15T00:00:00Z,spf,77.202842,15.566813,7.230344
2025-12-22T00:00:00Z,spf,75.045389,15.87246,9.082151
2025-12-29T00:00:00Z,spf,74.473672,15.705586,9.820743
2026-01-05T00:00:00Z,spf,78.638036,14.226433,7.13553
2026-01-12T00:00:00Z,spf,78.369551,14.767624,6.862826
2026-01-19T00:00:00Z,spf,77.725501,14.458867,7.815632
2026-01-26T00:00:00Z,spf,81.686024,14.419109,3.894868
2026-02-02T00:00:00Z,spf,82.393421,13.904883,3.701696
2026-02-09T00:00:00Z,spf,81.999818,14.154191,3.845992
2026-02-16T00:00:00Z,spf,82.417056,13.654055,3.928889
2026-02-23T00:00:00Z,spf,82.003044,13.701315,4.295641
2026-03-02T00:00:00Z,spf,80.685912,12.952788,6.3613
2026-03-09T00:00:00Z,spf,80.924946,14.575858,4.499197
2026-03-16T00:00:00Z,spf,80.384036,15.206954,4.40901
2026-03-23T00:00:00Z,spf,79.322233,15.650083,5.027683
2026-03-30T00:00:00Z,spf,79.526719,16.387115,4.086166
2026-04-06T00:00:00Z,spf,81.245236,15.020293,3.734472
2026-04-13T00:00:00Z,spf,81.829833,14.535507,3.63466
2026-04-20T00:00:00Z,spf,80.976932,15.290822,3.732246
2026-04-27T00:00:00Z,spf,81.422574,14.847455,3.729971
2026-05-04T00:00:00Z,spf,82.039821,14.562532,3.397647
2026-05-11T00:00:00Z,spf,82.024561,14.297341,3.678099
2026-05-18T00:00:00Z,spf,74.208369,22.492586,3.299044
2026-05-25T00:00:00Z,spf,80.020284,15.918777,4.060938
2026-06-01T00:00:00Z,spf,81.838971,14.038353,4.122676
2026-06-08T00:00:00Z,spf,80.041655,16.256856,3.701488
