country,tls13,ipv6,http3,iqi_p50,region
AD,67.04904024528302,2.042344566037736,26.59494703773585,25.784762075471697,Other
AE,69.529861,35.572591943396226,23.623259981132076,30.466350132075473,MENA
AF,75.93592479245282,4.377576773584906,11.966794056603774,3.7018688301886793,Other
AG,67.82787235849057,4.149803886792453,26.760087471698114,9.525734962264151,Other
AI,68.73751662264151,39.07198660377359,25.642576886792455,17.27410668627451,Other
AL,62.178227735849056,5.312519754716981,24.656215566037734,15.74117537735849,Other
AM,56.49420566037736,6.759872698113208,37.722663999999995,13.22376141509434,Other
AO,67.33241966037735,12.467762188679245,24.30617237735849,5.498891811320754,Africa
AQ,95.37872928301887,42.90995375471699,1.4009280943396227,10.845403210526316,Other
AR,65.59376177358492,25.500263811320753,27.960650094339623,22.5992009245283,LATAM
AS,72.0203273018868,42.94377915094339,22.5007660754717,4.786358094339622,Other
AT,66.95740539622642,31.64702509433962,27.253510981132074,23.102749245283018,EU-West
AU,64.56378390566037,25.073428075471696,26.623851735849055,27.053768150943394,APAC-Dev
AW,64.82117816981132,2.5210580943396224,29.727223471698114,10.330037716981131,Other
AX,59.917079301886794,29.233254396226414,31.400088037735852,49.68197873584906,Other
AZ,64.54401756603774,0.3846592075471698,28.28979583018868,9.600330849056604,Other
BA,59.378006603773585,7.692852528301887,33.38955013207547,16.902072509433964,Other
BB,64.17749311320755,14.208364226415094,26.379650679245284,8.92537537735849,Other
BD,68.47569973584906,20.001975735849058,24.31298950943396,10.491114641509435,APAC-Em
BE,72.39915650943396,33.97351764150943,20.559880773584904,28.293438735849058,EU-West
BF,65.92340854716981,11.844133792452832,19.877273905660378,5.45613679245283,Other
BG,67.2607463018868,15.243273603773584,27.161114320754717,23.5294360754717,EU-East
BH,62.9815929245283,16.349623849056606,27.349064358490565,18.04584262264151,MENA
BI,66.43753916981133,5.724355056603774,19.02255958490566,3.8587066603773583,Other
BJ,61.76559220754717,3.3965661509433964,29.390477188679245,4.220145056603774,Other
BL,64.25627396226415,58.41221403773584,31.598093735849055,10.31300751724138,Other
BM,63.63443220754717,15.666850603773584,28.606737188679247,16.19307383018868,Other
BN,64.94095267924529,1.135253962264151,28.257018641509433,11.659422094339623,Other
BO,66.19922249056603,36.54344109433963,28.260687339622642,8.708809075471697,LATAM
BQ,64.44248318867925,2.985199056603774,30.420113547169812,13.88405316981132,Other
BR,61.77580569811321,46.54153020754717,30.917700716981134,20.235946396226417,LATAM
BS,61.21942815094339,25.858470943396224,25.206754735849056,20.198374943396225,Other
BT,62.597179547169816,25.78804296226415,31.65300147169811,6.605127433962264,Other
BW,63.26608950943396,4.696184018867925,33.29650718867925,9.98651116981132,Other
BY,72.07433618867924,5.6642048490566035,18.609587566037735,15.993325132075473,EU-East
BZ,60.65648062264151,26.780237433962263,23.085872283018865,14.776596,Other
CA,67.65428726415094,30.73140909433962,25.17143130188679,30.410980943396225,NA
CC,87.28435541509434,78.5706117735849,0.8984725849056604,,Other
CD,71.09609130188679,4.540064471698113,17.59877620754717,5.283427641509434,Other
CF,63.684386641509434,6.892963132075471,23.44528273584906,3.7944631132075473,Other
CG,62.59285683018868,22.554963603773583,24.843180641509434,4.685711603773585,Other
CH,68.36293611320755,27.130489641509435,25.07657769811321,34.33335777358491,EU-West
CI,66.6198700754717,17.60408558490566,23.571149320754717,4.812275264150943,Africa
CK,63.238881301886785,31.660780924528304,31.58265920754717,7.43208311764706,Other
CL,64.51779194339623,18.226117943396225,29.227235792452827,30.90886666037736,LATAM
CM,59.22150379245283,3.1149524528301886,31.636982490566037,3.275741301886793,Africa
CN,69.45603556603773,30.949989603773584,17.86248437735849,4.67602379245283,APAC-Em
CO,65.75993541509435,16.838217660377357,28.727162018867926,15.810939547169811,LATAM
CR,66.19791532075472,14.337689226415094,27.86826243396226,10.794748264150943,LATAM
CU,63.94734113207547,0.12631343396226416,23.643499,3.9889332641509436,Other
CV,65.06532705660376,3.363953716981132,28.83571703773585,7.283493283018868,Other
CW,63.18225479245283,7.092820207547169,27.871918075471697,10.682037735849057,Other
CX,82.03642262264151,98.11320754716981,0.0,,Other
