country,tls13,ipv6,http3,gdp,income
AD,67.04904024528302,2.042344566037736,26.59494703773585,46812.4261013102,
AE,69.529861,35.572591943396226,23.623259981132076,49850.6872175164,HIC
AF,75.93592479245282,4.377576773584906,11.966794056603774,413.757894705303,
AG,67.82787235849057,4.149803886792453,26.760087471698114,21494.5474000727,
AI,68.73751662264151,39.07198660377359,25.642576886792455,,
AL,62.178227735849056,5.312519754716981,24.656215566037734,9730.86921906893,
AM,56.49420566037736,6.759872698113208,37.722663999999995,8159.08720967996,
AO,67.33241966037735,12.467762188679245,24.30617237735849,2916.13663284275,
AQ,95.37872928301887,42.90995375471699,1.4009280943396227,,
AR,65.59376177358492,25.500263811320753,27.960650094339623,14261.8465667948,UMC
AS,72.0203273018868,42.94377915094339,22.5007660754717,,
AT,66.95740539622642,31.64702509433962,27.253510981132074,56579.504175468,HIC
AU,64.56378390566037,25.073428075471696,26.623851735849055,65058.3773146674,HIC
AW,64.82117816981132,2.5210580943396224,29.727223471698114,35718.7531191634,
AX,59.917079301886794,29.233254396226414,31.400088037735852,,
AZ,64.54401756603774,0.3846592075471698,28.28979583018868,7133.02838048328,
BA,59.378006603773585,7.692852528301887,33.38955013207547,8663.02326458629,
BB,64.17749311320755,14.208364226415094,26.379650679245284,25583.878782727,
BD,68.47569973584906,20.001975735849058,24.31298950943396,2551.01773827307,LMC
BE,72.39915650943396,33.97351764150943,20.559880773584904,55291.4754541329,HIC
BF,65.92340854716981,11.844133792452832,19.877273905660378,873.482589651003,
BG,67.2607463018868,15.243273603773584,27.161114320754717,15853.208636704,UMC
BH,62.9815929245283,16.349623849056606,27.349064358490565,29290.1284215098,
BI,66.43753916981133,5.724355056603774,19.02255958490566,250.627253097255,
BJ,61.76559220754717,3.3965661509433964,29.390477188679245,1394.17784721831,
BL,64.25627396226415,58.41221403773584,31.598093735849055,,
BM,63.63443220754717,15.666850603773584,28.606737188679247,132604.439086216,
BN,64.94095267924529,1.135253962264151,28.257018641509433,32890.5491812019,
BO,66.19922249056603,36.54344109433963,28.260687339622642,4274.70820547613,
BQ,64.44248318867925,2.985199056603774,30.420113547169812,,
BR,61.77580569811321,46.54153020754717,30.917700716981134,10377.5897719195,UMC
BS,61.21942815094339,25.858470943396224,25.206754735849056,38231.774484278,
BT,62.597179547169816,25.78804296226415,31.65300147169811,3831.32535494609,
BW,63.26608950943396,4.696184018867925,33.29650718867925,7826.35376483298,
BY,72.07433618867924,5.6642048490566035,18.609587566037735,7896.75388295584,
BZ,60.65648062264151,26.780237433962263,23.085872283018865,7424.75821321022,
CA,67.65428726415094,30.73140909433962,25.17143130188679,54220.3285039875,HIC
CC,87.28435541509434,78.5706117735849,0.8984725849056604,,
CD,71.09609130188679,4.540064471698113,17.59877620754717,660.21205238997,
CF,63.684386641509434,6.892963132075471,23.44528273584906,495.978897288721,
CG,62.59285683018868,22.554963603773583,24.843180641509434,2477.97845544866,
CH,68.36293611320755,27.130489641509435,25.07657769811321,100623.549627296,HIC
CI,66.6198700754717,17.60408558490566,23.571149320754717,2591.9659048119,
CK,63.238881301886785,31.660780924528304,31.58265920754717,,
CL,64.51779194339623,18.226117943396225,29.227235792452827,17067.0364799154,UMC
CM,59.22150379245283,3.1149524528301886,31.636982490566037,1720.47510154506,
CN,69.45603556603773,30.949989603773584,17.86248437735849,12951.1782397043,UMC
CO,65.75993541509435,16.838217660377357,28.727162018867926,7000.83660501046,UMC
CR,66.19791532075472,14.337689226415094,27.86826243396226,16942.0268119375,
CU,63.94734113207547,0.12631343396226416,23.643499,,
CV,65.06532705660376,3.363953716981132,28.83571703773585,4794.90121917259,
CW,63.18225479245283,7.092820207547169,27.871918075471697,21217.8110321785,
CX,82.03642262264151,98.11320754716981,0.0,,
CY,63.66673716981132,16.98075975471698,28.82895883018868,36623.69140625,
CZ,65.85414618867925,26.8319489245283,28.71905175471698,31761.5944102491,HIC
DE,74.29288905660377,34.73405539622642,17.027537622641507,54776.7668235491,HIC
DJ,63.21801796226415,2.6671270943396226,27.59474158490566,3381.29779710722,
DK,63.56024550943397,20.888093150943398,32.103877905660376,68043.5466971243,HIC
DM,65.05146737735849,30.530707735849056,30.107542924528303,9912.96212766668,
DO,66.76907705660376,30.07802124528302,27.38171041509434,10630.431743829,
DZ,60.12780547169811,0.4885428301886792,29.525996962264152,5370.477235078,
EC,72.35703032075472,23.09512730188679,21.223039264150945,6737.84748379638,
EE,63.76707032075472,32.232207018867925,30.005025094339622,30264.0064885057,
EG,61.06509471698113,4.418201660377359,30.686375320754717,3456.78968456253,LMC
EH,69.11207209433962,69.36190309433962,2.5015194339622644,,
ER,74.06178167924529,57.276043811320754,8.550965452830189,,
ES,71.51057967924528,10.898057679245282,23.782139320754716,33493.2225409111,HIC
ET,66.77500262264151,0.44225924528301885,23.087521000000002,1055.81091592527,LIC
FI,78.31993350943397,32.16694303773585,14.104020320754715,52834.2916752703,HIC
FJ,65.57055290566038,23.13674996226415,30.138808641509435,5926.20586394763,
FK,75.19980818867924,21.266345811320758,11.50796803773585,,
FM,59.09226030188679,16.213365056603774,35.63836815094339,3919.64307910859,
FO,62.23040939622641,3.180618320754717,33.05215745283019,72465.3769660215,
FR,71.74437005660377,49.8670530754717,22.135041396226413,44700.1384177544,HIC
GA,68.4615348490566,20.662014509433963,22.847729679245283,7802.82433276138,
GB,70.48456884905661,30.794659226415096,21.914372264150945,49944.4702124201,HIC
GD,70.35090383018867,9.40152520754717,24.607817132075475,11414.4781691181,
GE,53.84946405660378,9.48282120754717,36.247154528301884,8283.66960652261,
GF,65.28336220754717,22.568057509433963,29.41943558490566,,
GG,65.98548552830188,4.775552396226415,25.253128811320757,,
GH,69.51778754716982,2.0240597924528303,24.659055792452833,2383.90410483418,LMC
GI,94.08818511320754,0.17391839622641508,2.8368635471698114,,
GL,57.302840641509434,2.3582702264150943,26.783156113207546,58498.9707973609,
GM,77.6716260754717,0.44028333962264155,13.850508132075472,883.024111719809,
GN,72.08238467924528,0.5788274150943395,15.679026320754716,1555.49375806861,
GP,65.90102450943397,11.620461150943397,30.201307566037734,,
GQ,70.33631435849057,0.32214773584905665,13.002180849056604,6677.793435386,
GR,58.21144439622641,47.27931415094339,37.026360641509434,23343.7103964562,HIC
GS,73.26444673584905,81.55248837735849,0.6316589433962264,,
GT,72.9954419245283,46.82447839622641,22.40587405660377,5758.32760847852,
GU,59.72210998113207,5.490663528301887,35.4375841509434,,
GW,72.75533850943395,1.742326924528302,12.61561037735849,988.087886357022,
GY,69.25003254716981,24.855176679245282,25.210876226415092,20473.7002190617,
HK,80.38838335849057,3.68019741509434,9.670954113207546,50562.3633144379,HIC
HN,69.76707639622641,16.025882566037733,24.21819850943396,3227.45762509776,
HR,61.99672650943396,4.850204113207547,28.577152226415095,22184.2279304842,
HT,66.67346556603773,8.990924886792452,19.51472903773585,1705.75808460999,
HU,68.96418356603773,45.00262073584906,26.86510113207547,22230.6277875187,HIC
ID,67.81029490566038,16.216915981132075,25.33386275471698,4876.30774512252,LMC
IE,70.31196471698114,10.22917720754717,8.191444226415095,106818.917130804,HIC
IL,69.60835388679246,39.18258041509434,23.111021867924528,52003.7200729997,HIC
IM,49.9317788490566,8.56134658490566,13.558752698113206,,
IN,66.8315946226415,64.84600326415095,27.011551094339623,2530.12031278204,LMC
IO,49.99618690566037,32.99840650943396,14.607459943396227,,
IQ,70.74486986792452,2.4724056603773583,22.88748149056604,5965.31835077761,
IR,92.70663039622642,3.1035104339622643,2.834406754716981,5049.29931642754,
IS,65.7418626226415,11.893344226415095,28.53366083018868,82138.7892973557,
IT,64.80867722641509,15.215552150943395,29.40237403773585,39277.0838783918,HIC
JE,62.94515266037736,3.7972602641509434,29.205881924528303,,
JM,71.7687908490566,17.06327262264151,22.910432811320753,7542.40084275345,
JO,59.5459061509434,17.53727637735849,32.35062183018868,4466.08314208575,
JP,72.61586620754717,41.32418045283019,22.486143018867924,33836.1756271617,HIC
KE,67.9700393018868,7.062548471698113,25.666538056603773,1942.58802756191,LMC
KG,55.518559792452834,4.458636094339623,33.925281226415095,2138.22210211478,
KH,61.460997584905655,0.6690685660377358,32.62444801886792,2429.74853452838,
KI,64.92990726415094,49.012942679245285,25.06563375471698,2177.70125812262,
KM,62.40060669811321,0.5326283962264151,24.989515150943397,1560.27378476855,
KN,65.27766452830188,2.6700095283018865,28.155279226415093,22576.9248439166,
KP,90.62121773584906,73.33846249056604,5.376895886792453,,
KR,67.38222950943396,18.765932981132075,27.595226622641512,35674.095995632,HIC
