country,tls13,ipv6,http3,iqi_p50,region,cluster,cluster_label,pc1,pc2
AD,67.04904024528302,2.042344566037736,26.59494703773585,25.784762075471697,Other,0,En transition,0.15910036502682753,0.36035654494109315
AE,69.529861,35.572591943396226,23.62325998113208,30.466350132075476,MENA,1,En transition,-1.0315189114283942,1.3021781183014465
AF,75.93592479245282,4.377576773584906,11.966794056603774,3.7018688301886793,Other,1,En transition,-1.6111724934955298,-1.9295733476809156
AG,67.82787235849057,4.149803886792453,26.760087471698117,9.525734962264153,Other,0,En transition,0.33204134877491776,-0.7289464637423377
AI,68.73751662264151,39.07198660377359,25.64257688679245,17.27410668627451,Other,0,En transition,-0.6267463502816719,0.5786201372813903
AL,62.178227735849056,5.312519754716981,24.656215566037734,15.74117537735849,Other,0,En transition,0.5764209308971983,-0.14075911501342478
AM,56.49420566037736,6.759872698113208,37.722664,13.22376141509434,Other,0,En transition,2.2478266180474953,0.3792536350029345
AO,67.33241966037735,12.467762188679243,24.30617237735849,5.498891811320754,Africa,0,En transition,0.08668353620121828,-0.8709074083040439
AQ,95.37872928301888,42.90995375471699,1.4009280943396227,10.845403210526316,Other,1,En transition,-5.2234686131373005,-1.5761790266733593
AR,65.59376177358492,25.500263811320757,27.960650094339623,22.5992009245283,LATAM,0,En transition,0.0355822877891347,0.8100776424335913
AS,72.0203273018868,42.94377915094339,22.5007660754717,4.786358094339622,Other,1,En transition,-1.0723283888770474,-0.41390499601571606
AT,66.95740539622642,31.64702509433962,27.253510981132077,23.102749245283015,EU-West,0,En transition,-0.2786323646768699,0.9197006611710995
AU,64.56378390566037,25.073428075471696,26.62385173584905,27.053768150943394,APAC-Dev,0,En transition,-0.044489360204418196,1.0972385058005212
AW,64.82117816981132,2.5210580943396224,29.727223471698117,10.330037716981131,Other,0,En transition,0.8911467343346586,-0.5013374253525503
AX,59.9170793018868,29.23325439622641,31.40008803773585,49.68197873584906,Other,0,En transition,0.3524660834276093,3.087639273610454
AZ,64.54401756603774,0.3846592075471698,28.28979583018868,9.600330849056604,Other,0,En transition,0.8483446676406612,-0.6428714282223523
BA,59.37800660377359,7.692852528301887,33.38955013207547,16.902072509433964,Other,0,En transition,1.5226611388673226,0.40023202663471713
BB,64.17749311320755,14.208364226415094,26.379650679245284,8.92537537735849,Other,0,En transition,0.4782366434341847,-0.40683324226488504
BD,68.47569973584906,20.001975735849054,24.31298950943396,10.491114641509435,APAC-Em,0,En transition,-0.24697964529158017,-0.3863881689768478
BE,72.39915650943396,33.97351764150943,20.559880773584904,28.293438735849055,EU-West,1,En transition,-1.502716691903459,0.9039038526109142
