country,iqi_p50,iqi_trend,gdp,income,quadrant
AD,25.784762075471697,-0.05086255394291243,46812.4261013102,,"Leaders (haut IQI, haut PIB)"
AE,30.466350132075473,-0.4557128894533139,49850.6872175164,HIC,"Leaders (haut IQI, haut PIB)"
AF,3.7018688301886793,-0.01805008119658119,413.757894705303,,"En retard (bas IQI, bas PIB)"
AG,9.525734962264151,-0.03198483809063054,21494.5474000727,,"Sous-performants (bas IQI, haut PIB)"
AL,15.74117537735849,-0.05422906837606837,9730.86921906893,,"Leaders (haut IQI, haut PIB)"
AM,13.22376141509434,-0.12482939687147232,8159.08720967996,,"Leaders (haut IQI, haut PIB)"
AO,5.498891811320754,-0.030277472826963393,2916.13663284275,,"En retard (bas IQI, bas PIB)"
AR,22.5992009245283,-0.17856711723915494,14261.8465667948,UMC,"Leaders (haut IQI, haut PIB)"
AT,23.102749245283018,-0.1659212142396388,56579.504175468,HIC,"Leaders (haut IQI, haut PIB)"
AU,27.053768150943394,-0.14642878882438318,65058.3773146674,HIC,"Leaders (haut IQI, haut PIB)"
AW,10.330037716981131,-0.05411730261248188,35718.7531191634,,"Sous-performants (bas IQI, haut PIB)"
AZ,9.600330849056604,-0.06079786792452831,7133.02838048328,,"En retard (bas IQI, bas PIB)"
BA,16.902072509433964,-0.09153711546524752,8663.02326458629,,"Leaders (haut IQI, haut PIB)"
BB,8.92537537735849,-0.05543789711336879,25583.878782727,,"Sous-performants (bas IQI, haut PIB)"
BD,10.491114641509435,-0.02952183639735526,2551.01773827307,LMC,"Efficaces (haut IQI, bas PIB)"
BE,28.293438735849058,-0.11528244258990483,55291.4754541329,HIC,"Leaders (haut IQI, haut PIB)"
BF,5.45613679245283,-0.04350893226898888,873.482589651003,,"En retard (bas IQI, bas PIB)"
BG,23.5294360754717,-0.09988030116110301,15853.208636704,UMC,"Leaders (haut IQI, haut PIB)"
BH,18.04584262264151,-0.27481627543944526,29290.1284215098,,"Leaders (haut IQI, haut PIB)"
BI,3.8587066603773583,-0.0367138751007902,250.627253097255,,"En retard (bas IQI, bas PIB)"
BJ,4.220145056603774,-0.03145230962747944,1394.17784721831,,"En retard (bas IQI, bas PIB)"
BM,16.19307383018868,-0.20923345436219964,132604.439086216,,"Leaders (haut IQI, haut PIB)"
BN,11.659422094339623,-0.07244204547653603,32890.5491812019,,"Leaders (haut IQI, haut PIB)"
BO,8.708809075471697,-0.06325569795194322,4274.70820547613,,"En retard (bas IQI, bas PIB)"
BR,20.235946396226417,-0.10086326947266569,10377.5897719195,UMC,"Leaders (haut IQI, haut PIB)"
BS,20.198374943396225,-0.10141358780841801,38231.774484278,,"Leaders (haut IQI, haut PIB)"
BT,6.605127433962264,-0.029911347524592825,3831.32535494609,,"En retard (bas IQI, bas PIB)"
BW,9.98651116981132,-0.08373321472343173,7826.35376483298,,"En retard (bas IQI, bas PIB)"
BY,15.993325132075473,-0.04030132406063537,7896.75388295584,,"Leaders (haut IQI, haut PIB)"
BZ,14.776596,-0.09501921520722463,7424.75821321022,,"Efficaces (haut IQI, bas PIB)"
CA,30.410980943396225,-0.20578161667472986,54220.3285039875,HIC,"Leaders (haut IQI, haut PIB)"
CD,5.283427641509434,-0.050091745121754565,660.21205238997,,"En retard (bas IQI, bas PIB)"
CF,3.7944631132075473,0.011866026850507983,495.978897288721,,"En retard (bas IQI, bas PIB)"
CG,4.685711603773585,-0.05689757434284794,2477.97845544866,,"En retard (bas IQI, bas PIB)"
CH,34.33335777358491,-0.164802644089663,100623.549627296,HIC,"Leaders (haut IQI, haut PIB)"
CI,4.812275264150943,-0.025939004999193684,2591.9659048119,,"En retard (bas IQI, bas PIB)"
CL,30.90886666037736,-0.0906219292855991,17067.0364799154,UMC,"Leaders (haut IQI, haut PIB)"
CM,3.275741301886793,-0.021907299467827764,1720.47510154506,,"En retard (bas IQI, bas PIB)"
CN,4.67602379245283,-0.029567860990162873,12951.1782397043,UMC,"Sous-performants (bas IQI, haut PIB)"
CO,15.810939547169811,-0.09429102193194645,7000.83660501046,UMC,"Efficaces (haut IQI, bas PIB)"
CR,10.794748264150943,-0.07936219416223189,16942.0268119375,,"Leaders (haut IQI, haut PIB)"
CV,7.283493283018868,-0.030048947750362837,4794.90121917259,,"En retard (bas IQI, bas PIB)"
CW,10.682037735849057,-0.05254064296081277,21217.8110321785,,"Leaders (haut IQI, haut PIB)"
CY,16.035380056603774,-0.09855151346557008,36623.69140625,,"Leaders (haut IQI, haut PIB)"
CZ,23.971021452830186,-0.08972576850507984,31761.5944102491,HIC,"Leaders (haut IQI, haut PIB)"
DE,26.53304516981132,-0.07910129987098852,54776.7668235491,HIC,"Leaders (haut IQI, haut PIB)"
DJ,4.9247978490566044,-0.04804541952910821,3381.29779710722,,"En retard (bas IQI, bas PIB)"
DK,33.33625743396227,-0.2254462839058216,68043.5466971243,HIC,"Leaders (haut IQI, haut PIB)"
DM,8.385688037735848,-0.02906836655378164,9912.96212766668,,"Sous-performants (bas IQI, haut PIB)"
DO,10.409626981132076,-0.038353064183196256,10630.431743829,,"Leaders (haut IQI, haut PIB)"
DZ,9.546320773584906,-0.029951677874536373,5370.477235078,,"En retard (bas IQI, bas PIB)"
EC,16.221981716981134,-0.12312738195452343,6737.84748379638,,"Efficaces (haut IQI, bas PIB)"
EE,29.464162547169813,-0.1930878565553943,30264.0064885057,,"Leaders (haut IQI, haut PIB)"
EG,8.103538735849057,-0.03989126511852927,3456.78968456253,LMC,"En retard (bas IQI, bas PIB)"
ES,29.16878813207547,-0.16571382381873886,33493.2225409111,HIC,"Leaders (haut IQI, haut PIB)"
ET,4.27855141509434,-0.015985836074826638,1055.81091592527,LIC,"En retard (bas IQI, bas PIB)"
FI,22.901895000000003,-0.1395474625866796,52834.2916752703,HIC,"Leaders (haut IQI, haut PIB)"
FJ,6.848848433962265,-0.04484234986292533,5926.20586394763,,"En retard (bas IQI, bas PIB)"
FM,6.872141169811321,-0.03882351548137396,3919.64307910859,,"En retard (bas IQI, bas PIB)"
FO,15.54993816981132,-0.11001056934365425,72465.3769660215,,"Leaders (haut IQI, haut PIB)"
FR,33.13926564150943,-0.07826895863570392,44700.1384177544,HIC,"Leaders (haut IQI, haut PIB)"
GA,4.347664037735849,-0.012052190372520562,7802.82433276138,,"En retard (bas IQI, bas PIB)"
GB,31.101076358490566,-0.10286872085147557,49944.4702124201,HIC,"Leaders (haut IQI, haut PIB)"
GD,8.355509452830189,-0.0629153144654088,11414.4781691181,,"Sous-performants (bas IQI, haut PIB)"
GE,11.224076566037734,-0.11752652475407191,8283.66960652261,,"Leaders (haut IQI, haut PIB)"
GH,5.317602056603773,-0.04214402394775037,2383.90410483418,LMC,"En retard (bas IQI, bas PIB)"
GL,6.62105620754717,-0.035423462506047415,58498.9707973609,,"Sous-performants (bas IQI, haut PIB)"
GM,7.484394452830189,0.2635324956458635,883.024111719809,,"En retard (bas IQI, bas PIB)"
GN,3.7628028679245284,-0.011317555474923401,1555.49375806861,,"En retard (bas IQI, bas PIB)"
GQ,3.6139350188679247,-0.03162088018061604,6677.793435386,,"En retard (bas IQI, bas PIB)"
GR,17.140152811320753,-0.12523443654249314,23343.7103964562,HIC,"Leaders (haut IQI, haut PIB)"
GT,9.66938579245283,-0.07835398951781969,5758.32760847852,,"En retard (bas IQI, bas PIB)"
GW,4.853688283018868,0.062396939364618625,988.087886357022,,"En retard (bas IQI, bas PIB)"
GY,6.807860584905661,-0.05361686155458796,20473.7002190617,,"Sous-performants (bas IQI, haut PIB)"
HK,54.029077716981135,-0.5028920095952265,50562.3633144379,HIC,"Leaders (haut IQI, haut PIB)"
HN,10.807038471698114,-0.06753747968069666,3227.45762509776,,"Efficaces (haut IQI, bas PIB)"
HR,18.52410345283019,-0.04867141590066117,22184.2279304842,,"Leaders (haut IQI, haut PIB)"
HT,6.406976924528301,-0.03313992501209483,1705.75808460999,,"En retard (bas IQI, bas PIB)"
HU,27.284644981132075,-0.25115772915658763,22230.6277875187,HIC,"Leaders (haut IQI, haut PIB)"
ID,11.972372679245282,-0.03526842202870506,4876.30774512252,LMC,"Efficaces (haut IQI, bas PIB)"
IE,30.72809213207547,-0.07945652330269311,106818.917130804,HIC,"Leaders (haut IQI, haut PIB)"
IL,31.78082137735849,-0.3758269825028221,52003.7200729997,HIC,"Leaders (haut IQI, haut PIB)"
IN,10.425757283018866,-0.0480402102886631,2530.12031278204,LMC,"Efficaces (haut IQI, bas PIB)"
IQ,7.126531886792453,-0.04717938824383164,5965.31835077761,,"En retard (bas IQI, bas PIB)"
IR,5.735299226415095,0.02764667311723915,5049.29931642754,,"En retard (bas IQI, bas PIB)"
IS,18.727698150943397,-0.06102736961780359,82138.7892973557,,"Leaders (haut IQI, haut PIB)"
IT,20.079818849056604,-0.10889451564263829,39277.0838783918,HIC,"Leaders (haut IQI, haut PIB)"
JM,10.948849698113207,-0.07585174310595065,7542.40084275345,,"Efficaces (haut IQI, bas PIB)"
JO,8.942672849056603,-0.0699892193194646,4466.08314208575,,"En retard (bas IQI, bas PIB)"
JP,33.54051069811321,-0.14193483341396543,33836.1756271617,HIC,"Leaders (haut IQI, haut PIB)"
KE,6.606334735849057,-0.05273713610707951,1942.58802756191,LMC,"En retard (bas IQI, bas PIB)"
KG,5.609341433962264,-0.035922574423480076,2138.22210211478,,"En retard (bas IQI, bas PIB)"
KH,11.87584571698113,-0.06722547726173196,2429.74853452838,,"Efficaces (haut IQI, bas PIB)"
KI,5.797534056603773,-0.046620556119980644,2177.70125812262,,"En retard (bas IQI, bas PIB)"
KM,4.407952962264151,-0.017159739800032256,1560.27378476855,,"En retard (bas IQI, bas PIB)"
KN,11.29462986792453,-0.01937981559425897,22576.9248439166,,"Leaders (haut IQI, haut PIB)"
KR,55.302547264150945,-0.276549750524109,35674.095995632,HIC,"Leaders (haut IQI, haut PIB)"
KW,8.27623041509434,-0.1259823684889534,34075.849012909,,"Sous-performants (bas IQI, haut PIB)"
KY,17.961778226415095,-0.14435464554104177,99143.5180243123,,"Leaders (haut IQI, haut PIB)"
KZ,6.550708339622641,-0.049561998226092564,12879.4275257974,,"Sous-performants (bas IQI, haut PIB)"
LA,9.527223075471698,-0.05234312522173844,2066.94979776957,,"En retard (bas IQI, bas PIB)"
LB,6.163872433962265,-0.0010507987421383667,3477.72489842684,,"En retard (bas IQI, bas PIB)"
LC,7.209886226415094,-0.03415523399451701,13554.7684784933,,"Sous-performants (bas IQI, haut PIB)"
LI,41.80324247169811,-0.08363691485244308,206780.590353385,,"Leaders (haut IQI, haut PIB)"
LK,6.307015150943395,-0.010527956055474923,3798.89016573011,,"En retard (bas IQI, bas PIB)"
LR,3.66653541509434,-0.026004403241412666,799.194470229642,,"En retard (bas IQI, bas PIB)"
LS,9.220262452830188,-0.08378823407514918,916.282976983803,,"En retard (bas IQI, bas PIB)"
LT,23.647347679245282,-0.1163214873407515,27786.0057829276,,"Leaders (haut IQI, haut PIB)"
LU,35.83344635849057,0.02911368319625865,133230.619178899,,"Leaders (haut IQI, haut PIB)"
LV,19.10362662264151,-0.12952248742138364,22710.2637544197,,"Leaders (haut IQI, haut PIB)"
LY,6.407686396226414,-0.02173859554910498,6026.51518708812,,"En retard (bas IQI, bas PIB)"
MA,11.785316981132075,-0.009983761651346559,3813.72607421875,LMC,"Efficaces (haut IQI, bas PIB)"
MC,45.93765371698113,-0.4205472448798581,256799.788612806,,"Leaders (haut IQI, haut PIB)"
MD,21.890142773584905,-0.1610839950008063,6799.58594644576,,"Efficaces (haut IQI, bas PIB)"
ME,17.231538547169812,-0.12301838469601675,12259.8775034436,,"Leaders (haut IQI, haut PIB)"
MG,6.456351169811321,-0.07024057740686988,508.718427705591,,"En retard (bas IQI, bas PIB)"
MH,4.668081754716981,-0.01465206563457507,6793.24495895856,,"En retard (bas IQI, bas PIB)"
MK,17.786988641509435,-0.1457781118368005,8674.35846327485,,"Leaders (haut IQI, haut PIB)"
ML,4.46389520754717,-0.020150897113368805,1043.9533853528,,"En retard (bas IQI, bas PIB)"
MM,9.470098886792453,-0.047145501370746655,1233.19666209269,,"En retard (bas IQI, bas PIB)"
MN,9.327585188679246,-0.04327275616835994,5838.63108083902,,"En retard (bas IQI, bas PIB)"
MO,56.4685951509434,0.16727149919367842,67216.3631112124,,"Leaders (haut IQI, haut PIB)"
MR,6.565362924528301,-0.03578145137880987,2135.78187606359,,"En retard (bas IQI, bas PIB)"
MT,15.171376811320755,-0.09699727826157072,40905.8059585057,,"Leaders (haut IQI, haut PIB)"
