iso3,iso2,status,rows,start,end,failures,file,note
ABW,AW,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ABW.csv,no_recent_data_30d
AFG,AF,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\AFG.csv,no_recent_data_30d
AGO,AO,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\AGO.csv,no_recent_data_30d
AIA,AI,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\AIA.csv,no_recent_data_30d
ALA,AX,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ALA.csv,no_recent_data_30d
ALB,AL,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ALB.csv,no_recent_data_30d
AND,AD,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\AND.csv,no_recent_data_30d
ARE,AE,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ARE.csv,no_recent_data_30d
ARG,AR,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ARG.csv,no_recent_data_30d
ARM,AM,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ARM.csv,no_recent_data_30d
ASM,AS,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ASM.csv,no_recent_data_30d
ATA,AQ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ATA.csv,no_recent_data_30d
ATF,TF,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ATF.csv,no_recent_data_30d
ATG,AG,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ATG.csv,no_recent_data_30d
AUS,AU,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\AUS.csv,no_recent_data_30d
AUT,AT,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\AUT.csv,no_recent_data_30d
AZE,AZ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\AZE.csv,no_recent_data_30d
BDI,BI,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BDI.csv,no_recent_data_30d
BEL,BE,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BEL.csv,no_recent_data_30d
BEN,BJ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BEN.csv,no_recent_data_30d
BES,BQ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BES.csv,no_recent_data_30d
BFA,BF,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BFA.csv,no_recent_data_30d
BGD,BD,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BGD.csv,no_recent_data_30d
BGR,BG,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BGR.csv,no_recent_data_30d
BHR,BH,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BHR.csv,no_recent_data_30d
BHS,BS,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BHS.csv,no_recent_data_30d
BIH,BA,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BIH.csv,no_recent_data_30d
BLM,BL,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BLM.csv,no_recent_data_30d
BLR,BY,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BLR.csv,no_recent_data_30d
BLZ,BZ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BLZ.csv,no_recent_data_30d
BMU,BM,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BMU.csv,no_recent_data_30d
BOL,BO,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BOL.csv,no_recent_data_30d
BRA,BR,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BRA.csv,no_recent_data_30d
BRB,BB,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BRB.csv,no_recent_data_30d
BRN,BN,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BRN.csv,no_recent_data_30d
BTN,BT,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BTN.csv,no_recent_data_30d
BVT,BV,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BVT.csv,no_recent_data_30d
BWA,BW,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\BWA.csv,no_recent_data_30d
CAF,CF,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CAF.csv,no_recent_data_30d
CAN,CA,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CAN.csv,no_recent_data_30d
CCK,CC,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CCK.csv,no_recent_data_30d
CHE,CH,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CHE.csv,no_recent_data_30d
CHL,CL,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CHL.csv,no_recent_data_30d
CHN,CN,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CHN.csv,no_recent_data_30d
CIV,CI,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CIV.csv,no_recent_data_30d
CMR,CM,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CMR.csv,no_recent_data_30d
COD,CD,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\COD.csv,no_recent_data_30d
COG,CG,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\COG.csv,no_recent_data_30d
COK,CK,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\COK.csv,no_recent_data_30d
COL,CO,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\COL.csv,no_recent_data_30d
COM,KM,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\COM.csv,no_recent_data_30d
CPV,CV,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CPV.csv,no_recent_data_30d
CRI,CR,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CRI.csv,no_recent_data_30d
CUB,CU,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CUB.csv,no_recent_data_30d
CUW,CW,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CUW.csv,no_recent_data_30d
CXR,CX,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CXR.csv,no_recent_data_30d
CYM,KY,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CYM.csv,no_recent_data_30d
CYP,CY,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CYP.csv,no_recent_data_30d
CZE,CZ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\CZE.csv,no_recent_data_30d
DEU,DE,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\DEU.csv,no_recent_data_30d
DJI,DJ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\DJI.csv,no_recent_data_30d
DMA,DM,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\DMA.csv,no_recent_data_30d
DNK,DK,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\DNK.csv,no_recent_data_30d
DOM,DO,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\DOM.csv,no_recent_data_30d
DZA,DZ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\DZA.csv,no_recent_data_30d
ECU,EC,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ECU.csv,no_recent_data_30d
EGY,EG,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\EGY.csv,no_recent_data_30d
