geo_id,geo_name,geo_code,geo_type,geo_latitude,geo_longitude,parent_geo_id,parent_geo_name,parent_geo_type
1121143,Zabul,28,ADM1,32.25,67.25,1149361,Afghanistan,COUNTRY
1121863,Maidan Wardak Province,27,ADM1,34.25,68.0,1149361,Afghanistan,COUNTRY
1123230,Takhar,26,ADM1,36.66667,69.75,1149361,Afghanistan,COUNTRY
1127106,Sar-e Pol Province,33,ADM1,35.83333,66.16667,1149361,Afghanistan,COUNTRY
1127766,Samangan,32,ADM1,36.0,67.66667,1149361,Afghanistan,COUNTRY
1131054,Parwan,40,ADM1,35.0,68.91667,1149361,Afghanistan,COUNTRY
1131256,Paktika,29,ADM1,32.41667,68.75,1149361,Afghanistan,COUNTRY
1131257,Paktia,36,ADM1,33.66667,69.33333,1149361,Afghanistan,COUNTRY
1131461,Oruzgan,39,ADM1,32.83333,66.0,1149361,Afghanistan,COUNTRY
1131821,Nimroz,19,ADM1,31.0,62.5,1149361,Afghanistan,COUNTRY
1132366,Nangarhar,18,ADM1,34.33333,70.41667,1149361,Afghanistan,COUNTRY
1134561,Logar,17,ADM1,34.0,69.25,1149361,Afghanistan,COUNTRY
1135022,Laghman,35,ADM1,34.78333,70.18333,1149361,Afghanistan,COUNTRY
1135690,Kunduz,24,ADM1,36.75,68.75,1149361,Afghanistan,COUNTRY
1135702,Kunar,34,ADM1,34.95,71.13333,1149361,Afghanistan,COUNTRY
1138255,Kapisa,14,ADM1,35.0,69.58333,1149361,Afghanistan,COUNTRY
1138335,Kandahar,23,ADM1,31.0,65.75,1149361,Afghanistan,COUNTRY
1138957,Kabul,13,ADM1,34.5,69.41667,1149361,Afghanistan,COUNTRY
1139049,Jowzjan,31,ADM1,36.83333,65.83333,1149361,Afghanistan,COUNTRY
1140025,Herat,11,ADM1,34.5,62.0,1149361,Afghanistan,COUNTRY
1140043,Helmand,10,ADM1,31.0,64.0,1149361,Afghanistan,COUNTRY
1141103,Ghowr,09,ADM1,34.0,65.0,1149361,Afghanistan,COUNTRY
1141268,Ghazni,08,ADM1,33.33333,67.75,1149361,Afghanistan,COUNTRY
1142226,Faryab,07,ADM1,36.25,64.83333,1149361,Afghanistan,COUNTRY
1142263,Farah,06,ADM1,32.5,62.5,1149361,Afghanistan,COUNTRY
1147239,Bamyan,05,ADM1,34.75,67.25,1149361,Afghanistan,COUNTRY
1147288,Balkh,30,ADM1,36.75,67.0,1149361,Afghanistan,COUNTRY
1147537,Baghlan,03,ADM1,35.75,69.0,1149361,Afghanistan,COUNTRY
1147707,Badghis,02,ADM1,35.0,63.75,1149361,Afghanistan,COUNTRY
1147745,Badakhshan,01,ADM1,36.75,72.0,1149361,Afghanistan,COUNTRY
1444362,Khowst,37,ADM1,33.38333,69.88333,1149361,Afghanistan,COUNTRY
6957553,Daykundi,41,ADM1,33.75,66.25,1149361,Afghanistan,COUNTRY
6957555,Panjshir,42,ADM1,35.40248,69.98291,1149361,Afghanistan,COUNTRY
9611689,Mariehamns stad,211,ADM1,60.08348,19.94307,661882,Aland Islands,COUNTRY
9611692,Alands landsbygd,212,ADM1,60.22496,19.93363,661882,Aland Islands,COUNTRY
9611694,Alands skaergard,213,ADM1,60.17575,20.71799,661882,Aland Islands,COUNTRY
865730,Berat County,40,ADM1,40.63333,20.08333,783754,Albania,COUNTRY
865731,Diber County,41,ADM1,41.6,20.23333,783754,Albania,COUNTRY
865732,Elbasan County,43,ADM1,41.06667,20.2,783754,Albania,COUNTRY
865733,Gjirokaster County,45,ADM1,40.21667,20.2,783754,Albania,COUNTRY
865734,Korce County,46,ADM1,40.61667,20.66667,783754,Albania,COUNTRY
865735,Kukes County,47,ADM1,42.2,20.36667,783754,Albania,COUNTRY
3344947,Durres County,42,ADM1,41.48333,19.61667,783754,Albania,COUNTRY
3344948,Fier County,44,ADM1,40.76667,19.61667,783754,Albania,COUNTRY
3344949,Lezhe County,48,ADM1,41.8,19.86667,783754,Albania,COUNTRY
3344950,Shkoder County,49,ADM1,42.18333,19.75,783754,Albania,COUNTRY
3344951,Tirana,50,ADM1,41.26667,19.78333,783754,Albania,COUNTRY
3344952,Vlore County,51,ADM1,40.16667,19.8,783754,Albania,COUNTRY
2475683,Tlemcen,15,ADM1,34.66667,-1.4166699999999999,2589581,Algeria,COUNTRY
2475741,Tizi Ouzou,14,ADM1,36.75,4.25,2589581,Algeria,COUNTRY
2475858,Tissemsilt,56,ADM1,35.75,1.75,2589581,Algeria,COUNTRY
2476027,Tipaza,55,ADM1,36.58333,2.41667,2589581,Algeria,COUNTRY
2476302,Tindouf,54,ADM1,27.41667,-5.83333,2589581,Algeria,COUNTRY
2476893,Tiaret,13,ADM1,34.91667,1.5833300000000001,2589581,Algeria,COUNTRY
2477457,Tebessa,33,ADM1,35.0,7.83333,2589581,Algeria,COUNTRY
