country_code,country_name,metric,meta_json
AF,Afghanistan,Nombre total d'octets,"{""dateRange"": [{""startTime"": ""2025-04-07T00:00:00Z"", ""endTime"": ""2026-04-06T00:00:00Z""}], ""confidenceInfo"": {""level"": 5, ""annotations"": [{""dataSource"": ""NET"", ""startDate"": ""2025-09-29T11:30:00Z"", ""endDate"": ""2025-10-01T12:15:00Z"", ""eventType"": ""TRAFFIC_ANOMALY"", ""description"": ""Traffic anomaly in Afghanistan"", ""linkedUrl"": null, ""isInstantaneous"": false}, {""dataSource"": ""ALL"", ""startDate"": ""2025-11-18T11:48:00Z"", ""endDate"": ""2025-11-18T14:42:00Z"", ""eventType"": ""GENERAL"", ""description"": ""Global service degradation"", ""linkedUrl"": ""https://www.cloudflarestatus.com/incidents/8gmgl950y3h7"", ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-10-08T13:30:00Z"", ""endDate"": ""2025-10-08T14:00:00Z"", ""eventType"": ""PIPELINE"", ""description"": ""Pipeline issue"", ""linkedUrl"": null, ""isInstantaneous"": false}, {""dataSource"": ""ALL"", ""startDate"": ""2025-09-29T12:38:00Z"", ""endDate"": ""2025-10-01T11:45:00Z"", ""eventType"": ""OUTAGE"", ""description"": ""Taliban orders Internet service shut down"", ""linkedUrl"": ""https://blog.cloudflare.com/nationwide-internet-shutdown-in-afghanistan/"", ""isInstantaneous"": false}, {""dataSource"": ""ALL"", ""startDate"": ""2025-09-29T11:33:00Z"", ""endDate"": ""2025-09-29T11:53:00Z"", ""eventType"": ""OUTAGE"", ""description"": ""Taliban orders Internet services shut down"", ""linkedUrl"": ""https://blog.cloudflare.com/nationwide-internet-shutdown-in-afghanistan/"", ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-06-05T13:00:00Z"", ""endDate"": ""2025-06-05T13:00:00Z"", ""eventType"": ""EVENT"", ""description"": ""Traffic shifts seen in some networks/locations due to phased integration of new IP geolocation provider"", ""linkedUrl"": null, ""isInstantaneous"": false}]}, ""aggInterval"": ""ONE_WEEK"", ""normalization"": ""PERCENTAGE"", ""lastUpdated"": ""2026-04-10T11:00:00Z"", ""units"": [{""name"": ""*"", ""value"": ""bytes""}]}"
AF,Afghanistan,Octets HTTP,"{""dateRange"": [{""startTime"": ""2025-04-07T00:00:00Z"", ""endTime"": ""2026-04-06T00:00:00Z""}], ""confidenceInfo"": {""level"": 5, ""annotations"": [{""dataSource"": ""NET"", ""startDate"": ""2025-09-29T11:30:00Z"", ""endDate"": ""2025-10-01T12:15:00Z"", ""eventType"": ""TRAFFIC_ANOMALY"", ""description"": ""Traffic anomaly in Afghanistan"", ""linkedUrl"": null, ""isInstantaneous"": false}, {""dataSource"": ""ALL"", ""startDate"": ""2025-11-18T11:48:00Z"", ""endDate"": ""2025-11-18T14:42:00Z"", ""eventType"": ""GENERAL"", ""description"": ""Global service degradation"", ""linkedUrl"": ""https://www.cloudflarestatus.com/incidents/8gmgl950y3h7"", ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-10-08T13:30:00Z"", ""endDate"": ""2025-10-08T14:00:00Z"", ""eventType"": ""PIPELINE"", ""description"": ""Pipeline issue"", ""linkedUrl"": null, ""isInstantaneous"": false}, {""dataSource"": ""ALL"", ""startDate"": ""2025-09-29T12:38:00Z"", ""endDate"": ""2025-10-01T11:45:00Z"", ""eventType"": ""OUTAGE"", ""description"": ""Taliban orders Internet service shut down"", ""linkedUrl"": ""https://blog.cloudflare.com/nationwide-internet-shutdown-in-afghanistan/"", ""isInstantaneous"": false}, {""dataSource"": ""ALL"", ""startDate"": ""2025-09-29T11:33:00Z"", ""endDate"": ""2025-09-29T11:53:00Z"", ""eventType"": ""OUTAGE"", ""description"": ""Taliban orders Internet services shut down"", ""linkedUrl"": ""https://blog.cloudflare.com/nationwide-internet-shutdown-in-afghanistan/"", ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-06-05T13:00:00Z"", ""endDate"": ""2025-06-05T13:00:00Z"", ""eventType"": ""EVENT"", ""description"": ""Traffic shifts seen in some networks/locations due to phased integration of new IP geolocation provider"", ""linkedUrl"": null, ""isInstantaneous"": false}]}, ""aggInterval"": ""ONE_WEEK"", ""normalization"": ""PERCENTAGE"", ""lastUpdated"": ""2026-04-10T11:15:00Z"", ""units"": [{""name"": ""*"", ""value"": ""bytes""}]}"
AF,Afghanistan,Requêtes HTTP,"{""dateRange"": [{""startTime"": ""2025-04-07T00:00:00Z"", ""endTime"": ""2026-04-06T00:00:00Z""}], ""confidenceInfo"": {""level"": null, ""annotations"": [{""dataSource"": ""ALL"", ""startDate"": ""2025-11-18T11:48:00Z"", ""endDate"": ""2025-11-18T14:42:00Z"", ""eventType"": ""GENERAL"", ""description"": ""Global service degradation"", ""linkedUrl"": ""https://www.cloudflarestatus.com/incidents/8gmgl950y3h7"", ""isInstantaneous"": false}, {""dataSource"": ""ALL"", ""startDate"": ""2025-09-29T12:38:00Z"", ""endDate"": ""2025-10-01T11:45:00Z"", ""eventType"": ""OUTAGE"", ""description"": ""Taliban orders Internet service shut down"", ""linkedUrl"": ""https://blog.cloudflare.com/nationwide-internet-shutdown-in-afghanistan/"", ""isInstantaneous"": false}, {""dataSource"": ""ALL"", ""startDate"": ""2025-09-29T11:33:00Z"", ""endDate"": ""2025-09-29T11:53:00Z"", ""eventType"": ""OUTAGE"", ""description"": ""Taliban orders Internet services shut down"", ""linkedUrl"": ""https://blog.cloudflare.com/nationwide-internet-shutdown-in-afghanistan/"", ""isInstantaneous"": false}, {""dataSource"": ""HTTP_CONTROL"", ""startDate"": ""2025-06-04T20:30:00Z"", ""endDate"": ""2025-06-04T20:30:00Z"", ""eventType"": ""EVENT"", ""description"": ""Traffic shifts seen in some networks/locations due to phased integration of new IP geolocation provider"", ""linkedUrl"": null, ""isInstantaneous"": false}]}, ""aggInterval"": ""ONE_WEEK"", ""normalization"": ""PERCENTAGE"", ""lastUpdated"": ""2026-04-10T11:15:00Z"", ""units"": [{""name"": ""*"", ""value"": ""requests""}]}"
AX,Aland Islands,Nombre total d'octets,"{""dateRange"": [{""startTime"": ""2025-04-07T00:00:00Z"", ""endTime"": ""2026-04-06T00:00:00Z""}], ""confidenceInfo"": {""level"": 5, ""annotations"": [{""dataSource"": ""ALL"", ""startDate"": ""2025-11-18T11:48:00Z"", ""endDate"": ""2025-11-18T14:42:00Z"", ""eventType"": ""GENERAL"", ""description"": ""Global service degradation"", ""linkedUrl"": ""https://www.cloudflarestatus.com/incidents/8gmgl950y3h7"", ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-10-08T13:30:00Z"", ""endDate"": ""2025-10-08T14:00:00Z"", ""eventType"": ""PIPELINE"", ""description"": ""Pipeline issue"", ""linkedUrl"": null, ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-06-05T13:00:00Z"", ""endDate"": ""2025-06-05T13:00:00Z"", ""eventType"": ""EVENT"", ""description"": ""Traffic shifts seen in some networks/locations due to phased integration of new IP geolocation provider"", ""linkedUrl"": null, ""isInstantaneous"": false}]}, ""aggInterval"": ""ONE_WEEK"", ""normalization"": ""PERCENTAGE"", ""lastUpdated"": ""2026-04-10T11:15:00Z"", ""units"": [{""name"": ""*"", ""value"": ""bytes""}]}"
AX,Aland Islands,Octets HTTP,"{""dateRange"": [{""startTime"": ""2025-04-07T00:00:00Z"", ""endTime"": ""2026-04-06T00:00:00Z""}], ""confidenceInfo"": {""level"": 5, ""annotations"": [{""dataSource"": ""ALL"", ""startDate"": ""2025-11-18T11:48:00Z"", ""endDate"": ""2025-11-18T14:42:00Z"", ""eventType"": ""GENERAL"", ""description"": ""Global service degradation"", ""linkedUrl"": ""https://www.cloudflarestatus.com/incidents/8gmgl950y3h7"", ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-10-08T13:30:00Z"", ""endDate"": ""2025-10-08T14:00:00Z"", ""eventType"": ""PIPELINE"", ""description"": ""Pipeline issue"", ""linkedUrl"": null, ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-06-05T13:00:00Z"", ""endDate"": ""2025-06-05T13:00:00Z"", ""eventType"": ""EVENT"", ""description"": ""Traffic shifts seen in some networks/locations due to phased integration of new IP geolocation provider"", ""linkedUrl"": null, ""isInstantaneous"": false}]}, ""aggInterval"": ""ONE_WEEK"", ""normalization"": ""PERCENTAGE"", ""lastUpdated"": ""2026-04-10T11:00:00Z"", ""units"": [{""name"": ""*"", ""value"": ""bytes""}]}"
AX,Aland Islands,Requêtes HTTP,"{""dateRange"": [{""startTime"": ""2025-04-07T00:00:00Z"", ""endTime"": ""2026-04-06T00:00:00Z""}], ""confidenceInfo"": {""level"": null, ""annotations"": [{""dataSource"": ""ALL"", ""startDate"": ""2025-11-18T11:48:00Z"", ""endDate"": ""2025-11-18T14:42:00Z"", ""eventType"": ""GENERAL"", ""description"": ""Global service degradation"", ""linkedUrl"": ""https://www.cloudflarestatus.com/incidents/8gmgl950y3h7"", ""isInstantaneous"": false}, {""dataSource"": ""HTTP_CONTROL"", ""startDate"": ""2025-06-04T20:30:00Z"", ""endDate"": ""2025-06-04T20:30:00Z"", ""eventType"": ""EVENT"", ""description"": ""Traffic shifts seen in some networks/locations due to phased integration of new IP geolocation provider"", ""linkedUrl"": null, ""isInstantaneous"": false}]}, ""aggInterval"": ""ONE_WEEK"", ""normalization"": ""PERCENTAGE"", ""lastUpdated"": ""2026-04-10T11:15:00Z"", ""units"": [{""name"": ""*"", ""value"": ""requests""}]}"
AL,Albania,Nombre total d'octets,"{""dateRange"": [{""startTime"": ""2025-04-07T00:00:00Z"", ""endTime"": ""2026-04-06T00:00:00Z""}], ""confidenceInfo"": {""level"": 5, ""annotations"": [{""dataSource"": ""ALL"", ""startDate"": ""2025-11-18T11:48:00Z"", ""endDate"": ""2025-11-18T14:42:00Z"", ""eventType"": ""GENERAL"", ""description"": ""Global service degradation"", ""linkedUrl"": ""https://www.cloudflarestatus.com/incidents/8gmgl950y3h7"", ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-10-08T13:30:00Z"", ""endDate"": ""2025-10-08T14:00:00Z"", ""eventType"": ""PIPELINE"", ""description"": ""Pipeline issue"", ""linkedUrl"": null, ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-06-05T13:00:00Z"", ""endDate"": ""2025-06-05T13:00:00Z"", ""eventType"": ""EVENT"", ""description"": ""Traffic shifts seen in some networks/locations due to phased integration of new IP geolocation provider"", ""linkedUrl"": null, ""isInstantaneous"": false}]}, ""aggInterval"": ""ONE_WEEK"", ""normalization"": ""PERCENTAGE"", ""lastUpdated"": ""2026-04-10T11:00:00Z"", ""units"": [{""name"": ""*"", ""value"": ""bytes""}]}"
AL,Albania,Octets HTTP,"{""dateRange"": [{""startTime"": ""2025-04-07T00:00:00Z"", ""endTime"": ""2026-04-06T00:00:00Z""}], ""confidenceInfo"": {""level"": 5, ""annotations"": [{""dataSource"": ""ALL"", ""startDate"": ""2025-11-18T11:48:00Z"", ""endDate"": ""2025-11-18T14:42:00Z"", ""eventType"": ""GENERAL"", ""description"": ""Global service degradation"", ""linkedUrl"": ""https://www.cloudflarestatus.com/incidents/8gmgl950y3h7"", ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-10-08T13:30:00Z"", ""endDate"": ""2025-10-08T14:00:00Z"", ""eventType"": ""PIPELINE"", ""description"": ""Pipeline issue"", ""linkedUrl"": null, ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-06-05T13:00:00Z"", ""endDate"": ""2025-06-05T13:00:00Z"", ""eventType"": ""EVENT"", ""description"": ""Traffic shifts seen in some networks/locations due to phased integration of new IP geolocation provider"", ""linkedUrl"": null, ""isInstantaneous"": false}]}, ""aggInterval"": ""ONE_WEEK"", ""normalization"": ""PERCENTAGE"", ""lastUpdated"": ""2026-04-10T11:00:00Z"", ""units"": [{""name"": ""*"", ""value"": ""bytes""}]}"
AL,Albania,Requêtes HTTP,"{""dateRange"": [{""startTime"": ""2025-04-07T00:00:00Z"", ""endTime"": ""2026-04-06T00:00:00Z""}], ""confidenceInfo"": {""level"": null, ""annotations"": [{""dataSource"": ""ALL"", ""startDate"": ""2025-11-18T11:48:00Z"", ""endDate"": ""2025-11-18T14:42:00Z"", ""eventType"": ""GENERAL"", ""description"": ""Global service degradation"", ""linkedUrl"": ""https://www.cloudflarestatus.com/incidents/8gmgl950y3h7"", ""isInstantaneous"": false}, {""dataSource"": ""HTTP_CONTROL"", ""startDate"": ""2025-06-04T20:30:00Z"", ""endDate"": ""2025-06-04T20:30:00Z"", ""eventType"": ""EVENT"", ""description"": ""Traffic shifts seen in some networks/locations due to phased integration of new IP geolocation provider"", ""linkedUrl"": null, ""isInstantaneous"": false}]}, ""aggInterval"": ""ONE_WEEK"", ""normalization"": ""PERCENTAGE"", ""lastUpdated"": ""2026-04-10T11:15:00Z"", ""units"": [{""name"": ""*"", ""value"": ""requests""}]}"
DZ,Algeria,Nombre total d'octets,"{""dateRange"": [{""startTime"": ""2025-04-07T00:00:00Z"", ""endTime"": ""2026-04-06T00:00:00Z""}], ""confidenceInfo"": {""level"": 5, ""annotations"": [{""dataSource"": ""ALL"", ""startDate"": ""2025-11-18T11:48:00Z"", ""endDate"": ""2025-11-18T14:42:00Z"", ""eventType"": ""GENERAL"", ""description"": ""Global service degradation"", ""linkedUrl"": ""https://www.cloudflarestatus.com/incidents/8gmgl950y3h7"", ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-10-08T13:30:00Z"", ""endDate"": ""2025-10-08T14:00:00Z"", ""eventType"": ""PIPELINE"", ""description"": ""Pipeline issue"", ""linkedUrl"": null, ""isInstantaneous"": false}, {""dataSource"": ""NET"", ""startDate"": ""2025-06-05T13:00:00Z"", ""endDate"": ""2025-06-05T13:00:00Z"", ""eventType"": ""EVENT"", ""description"": ""Traffic shifts seen in some networks/locations due to phased integration of new IP geolocation provider"", ""linkedUrl"": null, ""isInstantaneous"": false}]}, ""aggInterval"": ""ONE_WEEK"", ""normalization"": ""PERCENTAGE"", ""lastUpdated"": ""2026-04-10T11:00:00Z"", ""units"": [{""name"": ""*"", ""value"": ""bytes""}]}"
