date,iqi_latency_p25,iqi_latency_p50,iqi_latency_p75,country_alpha2,country,year,month
2024-12-09 00:00:00+00:00,118.11992,163.118074,251.028481,AF,AFG,2024,12
2024-12-16 00:00:00+00:00,111.867197,157.428276,239.906357,AF,AFG,2024,12
2024-12-23 00:00:00+00:00,110.120397,153.953236,234.350475,AF,AFG,2024,12
2024-12-30 00:00:00+00:00,108.056376,151.943853,235.008187,AF,AFG,2024,12
2025-01-06 00:00:00+00:00,114.115775,158.475338,240.142057,AF,AFG,2025,1
2025-01-13 00:00:00+00:00,115.379913,156.876354,236.681217,AF,AFG,2025,1
2025-01-20 00:00:00+00:00,114.972574,156.749105,240.330892,AF,AFG,2025,1
2025-01-27 00:00:00+00:00,111.175385,153.996889,236.400388,AF,AFG,2025,1
2025-02-03 00:00:00+00:00,108.218679,149.646681,234.121711,AF,AFG,2025,2
2025-02-10 00:00:00+00:00,106.056877,149.095125,229.503896,AF,AFG,2025,2
2025-02-17 00:00:00+00:00,104.030165,144.277156,216.057887,AF,AFG,2025,2
2025-02-24 00:00:00+00:00,106.610504,147.076748,222.505625,AF,AFG,2025,2
2025-03-03 00:00:00+00:00,110.873577,149.614519,226.594961,AF,AFG,2025,3
2025-03-10 00:00:00+00:00,104.32968,145.231918,220.375845,AF,AFG,2025,3
2025-03-17 00:00:00+00:00,101.068312,145.021027,210.989395,AF,AFG,2025,3
2025-03-24 00:00:00+00:00,105.913513,141.898201,213.245711,AF,AFG,2025,3
2025-03-31 00:00:00+00:00,105.035906,148.946855,223.401311,AF,AFG,2025,3
2025-04-07 00:00:00+00:00,103.52579,140.360917,216.66596,AF,AFG,2025,4
2025-04-14 00:00:00+00:00,106.791321,143.001672,216.53646,AF,AFG,2025,4
2025-04-21 00:00:00+00:00,103.10321,145.428114,213.547652,AF,AFG,2025,4
2025-04-28 00:00:00+00:00,105.142292,150.426386,216.981103,AF,AFG,2025,4
2025-05-05 00:00:00+00:00,100.776189,147.423908,217.572694,AF,AFG,2025,5
2025-05-12 00:00:00+00:00,102.633191,146.355821,218.212574,AF,AFG,2025,5
